Name,SecondaryName,Year,Single,Url,GroupID,Origin,USRegion,RegionID,Decade
Njena Reddd Foxxx,,2012,"""Ima Read""",https://www.youtube.com/watch?v=5a7toR0pm1g,1,"Brooklyn, NY",East Coast,62,2010
Katie Got Bandz,,2012,"""They Know How I'm Rockin""",https://www.youtube.com/watch?v=pgACTlfgLjI,2,"Chicago, IL",Mid West,19,2010
Lil Debbie,,2012,"""2 Cups""",https://www.youtube.com/watch?v=ykwwz20RULg,3,"Oakland, CA",West Coast,25,2010
Brooke Candy,,2012,"""Das Me""",https://www.youtube.com/watch?v=dHULK1M-P08,4,"Los Angeles, CA",West Coast,26,2010
Gifted Gab,,2012,"""Orange Skyline",https://www.youtube.com/watch?v=KOvLYMIb10g,5,"Seattle, Washington",West Coast,27,2010
Sharaya J,,2013,"""Banji""",https://www.youtube.com/watch?v=zwkbQleKThI,1,"Jersey City, NJ",East Coast,63,2010
Junglepussy,,2013,"""Cream Team""",https://www.youtube.com/watch?v=V9r3L0N95mQ,2,"Brooklyn, NY",East Coast,64,2010
Nyemiah Supreme,,2013,"""Rock & Roll""",https://www.youtube.com/watch?v=kNlGUEYQ1qg,3,"Queens, NY",East Coast,65,2010
Awkwafina,,2013,"""Yellow Ranger""",https://www.youtube.com/watch?v=ICKiNTXIrS4,4,"Queens, NY",East Coast,66,2010
Kiyanne,,2014,"""No Bars""",https://www.youtube.com/watch?v=CI9f1nrqMhA,1,"Queens, NY",East Coast,67,2010
Amber,,2015,"""Shake That Brass""",https://www.youtube.com/watch?v=BYGeGI1Ihlc,1,"Los Angeles, CA",West Coast,28,2010
